station,latitude,longitude,trafic,ville,ligne
RANELAGH_9,3.7788819602281287,52.62150237512056,2470025,Paris,9
RASPAIL_4,3.8056115207537906,52.61262540293027,1995962,Paris,4
RASPAIL_6,3.8056115207537906,52.61262540293027,1995962,Paris,6
REAUMURSEBASTOPOL_3,3.813489136872263,52.63095617560215,5669490,Paris,3
REAUMURSEBASTOPOL_4,3.813489136872263,52.63095617560215,5669490,Paris,4
RENNES_12,3.8039053992189817,52.61867186229688,1288804,Paris,12
REPUBLIQUE_3,3.818469641144578,52.63206266350747,18327920,Paris,3
REPUBLIQUE_5,3.818469641144578,52.63206266350747,18327920,Paris,5
REPUBLIQUE_8,3.818469641144578,52.63206266350747,18327920,Paris,8
REPUBLIQUE_9,3.818469641144578,52.63206266350747,18327920,Paris,9
REPUBLIQUE_11,3.818469641144578,52.63206266350747,18327920,Paris,11
REUILLYDIDEROT_1,3.829045678162347,52.61969449786973,6037085,Paris,1
REUILLYDIDEROT_8,3.829045678162347,52.61969449786973,6037085,Paris,8
RICHARDLENOIR_5,3.8222845024654606,52.6273781022193,2172035,Paris,5
RICHELIEUDROUOT_8,3.807658011511003,52.63408263345563,5340869,Paris,8
RICHELIEUDROUOT_9,3.807658011511003,52.63408263345563,5340869,Paris,9
RIQUET_7,3.821953316796598,52.64579011065913,2434730,Paris,7
ROBESPIERRE_9,3.8443474156857,52.62625941692697,4702422,Montreuil,9
ROME_2,3.7995824222516834,52.64029561464252,2992054,Paris,2
RUEDELAPOMPE_9,3.781929409867242,52.62722355381562,3241496,Paris,9
RUEDESBOULETS_9,3.8301138546221134,52.62302552276724,2654910,Paris,9
RUEDUBAC_12,3.802695804871997,52.62319356372973,2389323,Paris,12
RUESTMAUR_3,3.8258938285651976,52.63036986561025,3065770,Paris,3
SEGUR_10,3.7952372146685702,52.61716442731939,1605135,Paris,10
SENTIER_3,3.811495730087631,52.6314452249147,3507732,Paris,3
SEVRESBABYLONE_10,3.803226665170473,52.6204002611682,5430593,Paris,10
SEVRESBABYLONE_12,3.803226665170473,52.6204002611682,5430593,Paris,12
SEVRESLECOURBE_6,3.796214673895793,52.61629769237867,2431794,Paris,6
SIMPLON_4,3.810381875880268,52.64865596360384,2756818,Paris,4
SOLFERINO_12,3.801465701468527,52.62502989555376,2130716,Paris,12
STALINGRAD_2,3.8200736942138778,52.6431365584506,7342659,Paris,2
STALINGRAD_5,3.8200736942138778,52.6431365584506,7342659,Paris,5
STALINGRAD_7,3.8200736942138778,52.6431365584506,7342659,Paris,7
